field_name-japanese,field_name-short-code,field_name-jpgis-gml,field_name-camelCase,field_name-snake_case,field_type,field_width,field_precision,ogr-vrt-field-def-short-code-to-snake_case
法規制等：高度地区,L01_054,altitudeDistrict,altitudeDistrict,altitude_district,String,5,0,"<Field name=""altitude_district"" src=""L01_054"" type=""String"" width=""5"" precision=""0"" comment=""法規制等：高度地区"" alternativeName=""法規制等：高度地区"" />"
法規制等：森林法,L01_055,forestLaw,forestLaw,forest_law,String,6,0,"<Field name=""forest_law"" src=""L01_055"" type=""String"" width=""6"" precision=""0"" comment=""法規制等：森林法"" alternativeName=""法規制等：森林法"" />"
法規制等：自然公園法,L01_056,parksLaw,parksLaw,parks_law,String,14,0,"<Field name=""parks_law"" src=""L01_056"" type=""String"" width=""14"" precision=""0"" comment=""法規制等：自然公園法"" alternativeName=""法規制等：自然公園法"" />"
法規制等：建蔽率,L01_057,buildingCoverage,buildingCoverage,building_coverage,Integer,3,0,"<Field name=""building_coverage"" src=""L01_057"" type=""Integer"" width=""3"" precision=""0"" comment=""法規制等：建蔽率"" alternativeName=""法規制等：建蔽率"" />"
法規制等：容積率,L01_058,floorAreaRatio,floorAreaRatio,floor_area_ratio,Integer,4,0,"<Field name=""floor_area_ratio"" src=""L01_058"" type=""Integer"" width=""4"" precision=""0"" comment=""法規制等：容積率"" alternativeName=""法規制等：容積率"" />"
法規制等：割増容積率,L01_059,extraFloorAreaRatio,extraFloorAreaRatio,extra_floor_area_ratio,String,5,0,"<Field name=""extra_floor_area_ratio"" src=""L01_059"" type=""String"" width=""5"" precision=""0"" comment=""法規制等：割増容積率"" alternativeName=""法規制等：割増容積率"" />"
共通地点,L01_060,commonSurveyedPosition,commonSurveyedPosition,common_surveyed_position,String,5,0,"<Field name=""common_surveyed_position"" src=""L01_060"" type=""String"" width=""5"" precision=""0"" comment=""共通地点"" alternativeName=""共通地点"" />"
選定年次フラグ,L01_061,selectedYear,selectedYear,selected_year,String,42,0,"<Field name=""selected_year"" src=""L01_061"" type=""String"" width=""42"" precision=""0"" comment=""選定年次フラグ"" alternativeName=""選定年次フラグ"" />"
昭和58年公示価格,L01_062,surveyedPriceOfS58,surveyedPriceOfS58,surveyed_price_of_s58,Integer,9,0,"<Field name=""surveyed_price_of_s58"" src=""L01_062"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和58年公示価格"" alternativeName=""昭和58年公示価格"" />"
昭和59年公示価格,L01_063,surveyedPriceOfS59,surveyedPriceOfS59,surveyed_price_of_s59,Integer,9,0,"<Field name=""surveyed_price_of_s59"" src=""L01_063"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和59年公示価格"" alternativeName=""昭和59年公示価格"" />"
昭和60年公示価格,L01_064,surveyedPriceOfS60,surveyedPriceOfS60,surveyed_price_of_s60,Integer,9,0,"<Field name=""surveyed_price_of_s60"" src=""L01_064"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和60年公示価格"" alternativeName=""昭和60年公示価格"" />"
昭和61年公示価格,L01_065,surveyedPriceOfS61,surveyedPriceOfS61,surveyed_price_of_s61,Integer,9,0,"<Field name=""surveyed_price_of_s61"" src=""L01_065"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和61年公示価格"" alternativeName=""昭和61年公示価格"" />"
昭和62年公示価格,L01_066,surveyedPriceOfS62,surveyedPriceOfS62,surveyed_price_of_s62,Integer,9,0,"<Field name=""surveyed_price_of_s62"" src=""L01_066"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和62年公示価格"" alternativeName=""昭和62年公示価格"" />"
昭和63年公示価格,L01_067,surveyedPriceOfS63,surveyedPriceOfS63,surveyed_price_of_s63,Integer,9,0,"<Field name=""surveyed_price_of_s63"" src=""L01_067"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和63年公示価格"" alternativeName=""昭和63年公示価格"" />"
昭和64年公示価格,L01_068,surveyedPriceOfH01,surveyedPriceOfH01,surveyed_price_of_h01,Integer,9,0,"<Field name=""surveyed_price_of_h01"" src=""L01_068"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和64年公示価格"" alternativeName=""昭和64年公示価格"" />"
平成2年公示価格,L01_069,surveyedPriceOfH02,surveyedPriceOfH02,surveyed_price_of_h02,Integer,9,0,"<Field name=""surveyed_price_of_h02"" src=""L01_069"" type=""Integer"" width=""9"" precision=""0"" comment=""平成2年公示価格"" alternativeName=""平成2年公示価格"" />"
平成3年公示価格,L01_070,surveyedPriceOfH03,surveyedPriceOfH03,surveyed_price_of_h03,Integer,9,0,"<Field name=""surveyed_price_of_h03"" src=""L01_070"" type=""Integer"" width=""9"" precision=""0"" comment=""平成3年公示価格"" alternativeName=""平成3年公示価格"" />"
平成4年公示価格,L01_071,surveyedPriceOfH04,surveyedPriceOfH04,surveyed_price_of_h04,Integer,9,0,"<Field name=""surveyed_price_of_h04"" src=""L01_071"" type=""Integer"" width=""9"" precision=""0"" comment=""平成4年公示価格"" alternativeName=""平成4年公示価格"" />"
平成5年公示価格,L01_072,surveyedPriceOfH05,surveyedPriceOfH05,surveyed_price_of_h05,Integer,9,0,"<Field name=""surveyed_price_of_h05"" src=""L01_072"" type=""Integer"" width=""9"" precision=""0"" comment=""平成5年公示価格"" alternativeName=""平成5年公示価格"" />"
平成6年公示価格,L01_073,surveyedPriceOfH06,surveyedPriceOfH06,surveyed_price_of_h06,Integer,9,0,"<Field name=""surveyed_price_of_h06"" src=""L01_073"" type=""Integer"" width=""9"" precision=""0"" comment=""平成6年公示価格"" alternativeName=""平成6年公示価格"" />"
平成7年公示価格,L01_074,surveyedPriceOfH07,surveyedPriceOfH07,surveyed_price_of_h07,Integer,9,0,"<Field name=""surveyed_price_of_h07"" src=""L01_074"" type=""Integer"" width=""9"" precision=""0"" comment=""平成7年公示価格"" alternativeName=""平成7年公示価格"" />"
平成8年公示価格,L01_075,surveyedPriceOfH08,surveyedPriceOfH08,surveyed_price_of_h08,Integer,9,0,"<Field name=""surveyed_price_of_h08"" src=""L01_075"" type=""Integer"" width=""9"" precision=""0"" comment=""平成8年公示価格"" alternativeName=""平成8年公示価格"" />"
平成9年公示価格,L01_076,surveyedPriceOfH09,surveyedPriceOfH09,surveyed_price_of_h09,Integer,9,0,"<Field name=""surveyed_price_of_h09"" src=""L01_076"" type=""Integer"" width=""9"" precision=""0"" comment=""平成9年公示価格"" alternativeName=""平成9年公示価格"" />"
平成10年公示価格,L01_077,surveyedPriceOfH10,surveyedPriceOfH10,surveyed_price_of_h10,Integer,9,0,"<Field name=""surveyed_price_of_h10"" src=""L01_077"" type=""Integer"" width=""9"" precision=""0"" comment=""平成10年公示価格"" alternativeName=""平成10年公示価格"" />"
平成11年公示価格,L01_078,surveyedPriceOfH11,surveyedPriceOfH11,surveyed_price_of_h11,Integer,9,0,"<Field name=""surveyed_price_of_h11"" src=""L01_078"" type=""Integer"" width=""9"" precision=""0"" comment=""平成11年公示価格"" alternativeName=""平成11年公示価格"" />"
平成12年公示価格,L01_079,surveyedPriceOfH12,surveyedPriceOfH12,surveyed_price_of_h12,Integer,9,0,"<Field name=""surveyed_price_of_h12"" src=""L01_079"" type=""Integer"" width=""9"" precision=""0"" comment=""平成12年公示価格"" alternativeName=""平成12年公示価格"" />"
